ELM,CM_High,CM_Low,EM_High,EM_Low,Naive_High,Naive_Low
LYPXL,-0.11104504096349152,-0.04092573715407558,-0.15435402272813079,-0.24220844187714727,-0.17098010344697398,-0.08984124287386265
GBD,-0.20877306671604023,-0.14715381925157892,-0.14778127507251743,-0.17714826472463946,-0.18138101997572467,-0.21974325742146517
REV1ctd,0.05727253938729114,0.020178534522503618,0.18442473092637637,0.08798548512742246,0.0555893388022448,0.0935855550786156
eIF4E,0.048324334841188775,0.009099826515556853,0.08150931465538207,0.05605006728602234,0.07571704200917684,0.17211034907664122
EVH1,-0.042011175293540225,0.1115028127005701,0.1124608298410541,0.04139766677992978,0.16111205497036282,0.12520764903537585
deltaCOP1,0.15426739303143797,0.09137522901567846,-0.01847528252022634,0.04949981354475737,0.026963049434959547,-0.030424631548227055
CSL,-0.03421498813157002,0.03383632869899401,-0.020730191025206283,-0.15336837345992993,-0.09429750197807166,-0.06030857917938284
DLG,-0.1478937728937729,-0.12122361765218909,-0.007295482295482296,-0.011185243328100471,-0.005690737833594976,-0.005529391243676958
Clathr,-0.019914230588387892,0.05812539520404689,-0.06362177148694002,-0.12984580962109052,-0.13789986542795532,-0.14642816609108744
TYR,-0.030117473073274177,-0.02399652603381885,-0.02658316591327641,-0.10499644232379039,-0.146348150008371,-0.0927343183213349
PP2B,-0.007983220603537981,0.14515767718811423,0.10121654237484103,0.03746820441669557,-0.016781203029251936,-0.034433171464909235
APCC,0.012790484063562046,-0.015636385903677167,-0.1277471602216711,-0.14285233152689752,-0.08596338140289642,-0.05807844217874529
TRFH,-0.14237589746754717,-0.09158283445452488,-0.023066716040239462,-0.07484725050916496,-0.10032607130366805,-0.12439568804130922
NRBOX,-0.14074280310061074,-0.083419510513616,-0.12449067076781659,-0.08132695180264984,-0.12163577546204227,-0.07784892919329321
Integrin,0.08919644510275875,-0.0634347548807834,0.0920765701824765,0.13954720319282438,0.08795696270238022,0.11526672015470386
PP2A,0.08347150226152361,0.10016823787501482,0.13902494028561263,0.1162196557740848,0.041016055123579136,0.09064146380715217
NRP,0.013480604694184299,0.10859998265695456,0.005934573361082206,0.13362274540409297,0.02696482252283501,0.07128533645508152
WW,0.04935244478066764,0.06168008599736941,0.12054474669015494,0.07593612706395463,0.09037581821216868,0.025397873980231498
TRAF4,0.08063793502138976,0.044929327089836976,0.0897556798473812,0.04612166146375304,0.1163357035495433,0.10563540582726327
MSH2,-0.08886832798749897,-0.1049284480631631,-0.06947117361625134,-0.04446500534583436,-0.11486758779504894,0.013021218850234394
Actin,0.00461379365205632,-0.02134321498333908,-0.039763034850935575,-0.07967853702083279,-0.0610001856123883,-0.11233084966280416
IRF7,-0.02202199185685203,-0.10774603557269903,-0.014802984035144112,0.008243597985642344,0.028728704596592734,0.06445207864566592
UBA3,-0.04750458427833808,-0.03434991716128617,-0.08524680038818919,-0.0491040550756808,-0.10154645670135705,-0.022190185891146175
PCNA,-0.015433939755442888,-0.05118136328992279,-0.10103555688106837,-0.06419292838917057,-0.07826821751665175,-0.05253338635384564
TRAF6,-0.05744490596515519,0.010123649090419599,0.09693761778393138,0.07391831083419868,0.04755490173454867,0.06275239413868697
MYND,-0.04017217630853995,-0.035408631772268134,0.0323048668503214,-0.09603305785123967,-0.013758034894398532,-0.04527548209366391
TRAF2like,0.0802573318747721,0.029867948116893264,0.08892600406313486,0.018340105224774705,0.09489438453925092,0.06234958587279262
SH3,0.011455007517999645,0.020739516146340294,0.08061586998594873,0.04054038699707991,0.06517840572958683,0.03160495089628948
CKS1,-0.07669362400375059,0.005491092358180966,-0.04508842527478252,-0.0279861436682815,-0.02952740011460124,-0.0673119497838204
BIR,-0.03542287760448748,0.024180772168428316,-0.07474868800354793,-0.0533886055469321,-0.07146315322640254,-0.053463547441298935
WRC,-0.022747229939010762,-0.07256841332183799,0.06756846654106928,0.04289203946738193,-0.013319443113963662,-0.011955700311864695
PDZ,-0.07042869103569034,-0.05336255512805279,0.05821515545120664,0.010853858246637683,0.0035012886545135687,-0.012566430242611237
BRCT,0.0063015890331260685,-0.011948050373925797,0.0680369198695805,0.028612292886319286,0.019664133425451195,-0.03394543228731076
WD40,-0.015596086772434965,0.03150949657155135,0.06601316255914674,0.01064369429280937,0.009457132832325606,-0.007956874894036774
SH2,-0.005314687284736195,-0.020239682331964732,0.009927012506429515,-0.004187931777163452,-0.06511167818072436,-0.0148693331661205
PP1,0.016231403240136864,0.060622207729194626,-0.00038359263250092944,-0.05627823777387096,-0.02335385987132712,-0.051476634718992796
14-3-3,0.016253887475261523,-0.025771133729148996,0.060518212232588825,0.013069691829233813,0.020574757327301855,-0.0021824050513617943
CDC14,-0.03461131876014649,-0.005816532638652924,-0.008287084229999622,-0.044434533922301504,-0.059786404651338394,0.030446539811983236
Arc,0.050168504491368386,0.027301792794869457,0.057765948512317984,0.03101228671137486,-0.0053935285698203635,0.01984015302995377
PP4,-0.005553103854074728,0.026629564250923474,0.05664474663935289,-0.022113439319480312,0.0046096528027488115,0.0014687507945328874
LIR,0.0008352875208647814,-0.015913515365205622,-0.013870321786452328,-0.037325910205779196,-0.053883820069923705,-0.02478371646549211
MAPK,0.005204269494218488,0.05208883460025736,0.022112253671013164,0.023475858027278335,-0.011534772549941567,0.05179268897952138
ANK,0.0346227112475833,-0.04999360286591607,-0.028971909473444784,-0.017869327874445583,-0.044840355964972135,0.03343568747867622
